5, 8, 367, 2, 0, 265, 5, 211, 0, 216, 0, 2.3696682464454977, 81.50943396226415
3, 17, 360, 2, 1, 352, 17, 249, 0, 266, 0, 6.827309236947791, 75.56818181818181
2, 30, 354, 3, 2, 529, 9, 417, 0, 426, 1, 2.158273381294964, 80.52930056710775
5, 72, 362, 12, 2, 1592, 39, 1184, 1, 1223, 14, 3.293918918918919, 76.821608040201
5, 11, 367, 1, 0, 216, 9, 157, 0, 166, 0, 5.732484076433121, 76.85185185185185
4, 52, 358, 7, 2, 1014, 16, 772, 0, 788, 0, 2.0725388601036268, 77.7120315581854
4, 55, 353, 10, 1, 1016, 34, 733, 5, 767, 5, 4.638472032742156, 75.49212598425197
3, 35, 349, 1, 2, 752, 12, 562, 1, 574, 0, 2.1352313167259784, 76.32978723404256
5, 26, 351, 3, 0, 584, 14, 437, 2, 451, 0, 3.203661327231121, 77.22602739726027
4, 17, 364, 4, 0, 271, 22, 186, 7, 208, 3, 11.827956989247312, 76.75276752767527
5, 2, 357, 0, 0, 81, 3, 62, 0, 65, 0, 4.838709677419355, 80.24691358024691
5, 9, 377, 1, 0, 95, 0, 73, 2, 73, 0, 0.0, 76.84210526315789
4, 12, 371, 6, 0, 113, 3, 83, 2, 86, 0, 3.6144578313253013, 76.10619469026548
4, 23, 355, 2, 3, 428, 10, 320, 0, 330, 2, 3.125, 77.10280373831776
4, 13, 358, 2, 1, 267, 0, 216, 0, 216, 0, 0.0, 80.89887640449439
5, 23, 372, 6, 0, 460, 12, 355, 0, 367, 0, 3.380281690140845, 79.78260869565217
5, 7, 370, 2, 0, 145, 2, 109, 1, 111, 0, 1.834862385321101, 76.55172413793103
5, 39, 362, 8, 0, 859, 25, 639, 3, 664, 3, 3.912363067292645, 77.29918509895226
3, 37, 360, 5, 2, 783, 25, 570, 3, 595, 0, 4.385964912280702, 75.98978288633461
5, 28, 373, 5, 0, 479, 21, 358, 1, 379, 0, 5.865921787709497, 79.12317327766179
5, 21, 357, 3, 0, 454, 14, 333, 0, 347, 3, 4.2042042042042045, 76.431718061674
2, 20, 350, 1, 0, 466, 13, 345, 0, 358, 0, 3.7681159420289854, 76.82403433476395
2, 11, 332, 0, 2, 154, 2, 115, 0, 117, 3, 1.7391304347826086, 75.97402597402598
3, 81, 348, 12, 2, 1810, 34, 1356, 1, 1390, 4, 2.5073746312684366, 76.79558011049724
4, 18, 355, 3, 0, 331, 9, 247, 1, 256, 0, 3.6437246963562755, 77.34138972809667
5, 21, 358, 1, 0, 421, 15, 306, 1, 321, 2, 4.901960784313726, 76.24703087885986
2, 60, 354, 4, 1, 1531, 29, 1178, 0, 1207, 0, 2.461799660441426, 78.83736120182887
2, 14, 356, 2, 0, 390, 9, 286, 3, 295, 1, 3.1468531468531467, 75.64102564102564
4, 48, 366, 8, 0, 699, 14, 518, 0, 532, 3, 2.7027027027027026, 76.10872675250357
4, 107, 355, 8, 2, 2671, 87, 1960, 2, 2047, 7, 4.438775510204081, 76.63796330962187
1, 16, 359, 4, 2, 272, 2, 199, 0, 201, 4, 1.0050251256281406, 73.8970588235294
4, 26, 350, 2, 3, 605, 15, 453, 3, 468, 0, 3.3112582781456954, 77.35537190082644
3, 39, 358, 5, 2, 821, 27, 626, 2, 653, 2, 4.313099041533547, 79.53714981729598
4, 11, 369, 3, 1, 280, 13, 192, 1, 205, 2, 6.770833333333333, 73.21428571428571
4, 26, 356, 2, 0, 772, 24, 575, 4, 599, 3, 4.173913043478261, 77.59067357512953
3, 20, 359, 2, 0, 434, 14, 345, 0, 359, 0, 4.057971014492754, 82.71889400921658
4, 12, 362, 6, 0, 165, 2, 126, 0, 128, 0, 1.5873015873015872, 77.57575757575758
4, 18, 360, 4, 1, 391, 13, 293, 0, 306, 0, 4.436860068259386, 78.26086956521739
4, 50, 351, 5, 0, 1475, 51, 1056, 7, 1107, 6, 4.829545454545454, 75.05084745762711
