1, 20, 343, 27, 341, 1, 2, 505, 12, 383, 0, 395, 2, 3.133159268929504, 78.21782178217822
1, 48, 349, 107, 333, 5, 2, 860, 19, 643, 0, 662, 0, 2.9548989113530326, 76.97674418604652
1, 148, 343, 296, 337, 11, 9, 3229, 63, 2371, 7, 2434, 22, 2.6571067060312106, 75.37937441932486
1, 15, 350, 18, 352, 2, 1, 324, 9, 246, 1, 255, 0, 3.658536585365854, 78.70370370370371
5, 17, 365, 47, 361, 4, 0, 372, 7, 280, 2, 287, 1, 2.5, 77.15053763440861
4, 15, 363, 16, 357, 3, 2, 186, 0, 145, 0, 145, 0, 0.0, 77.95698924731182
4, 109, 353, 188, 356, 7, 5, 2002, 112, 1427, 0, 1539, 5, 7.848633496846531, 76.87312687312688
3, 15, 368, 38, 359, 3, 1, 344, 35, 218, 2, 253, 6, 16.05504587155963, 73.54651162790698
5, 59, 362, 123, 359, 10, 0, 1388, 44, 1022, 6, 1066, 10, 4.305283757338552, 76.80115273775216
5, 31, 367, 36, 364, 9, 0, 334, 13, 245, 0, 258, 0, 5.3061224489795915, 77.24550898203593
5, 69, 363, 138, 362, 11, 2, 1501, 33, 1152, 0, 1185, 1, 2.8645833333333335, 78.94736842105263
4, 26, 363, 78, 350, 5, 0, 888, 36, 654, 0, 690, 3, 5.504587155963303, 77.70270270270271
4, 30, 370, 43, 368, 14, 1, 527, 20, 390, 2, 410, 0, 5.128205128205129, 77.7988614800759
4, 10, 345, 14, 342, 2, 1, 153, 6, 117, 1, 123, 0, 5.128205128205129, 80.3921568627451
2, 28, 347, 59, 335, 4, 1, 743, 11, 559, 0, 570, 9, 1.9677996422182469, 76.71601615074024
4, 35, 354, 65, 354, 7, 1, 720, 17, 526, 1, 543, 6, 3.2319391634980987, 75.41666666666667
4, 4, 387, 3, 386, 0, 0, 44, 3, 31, 0, 34, 0, 9.67741935483871, 77.27272727272727
4, 38, 360, 40, 358, 7, 0, 506, 7, 380, 0, 387, 2, 1.8421052631578947, 76.48221343873517
1, 21, 328, 46, 327, 0, 2, 489, 4, 368, 0, 372, 9, 1.0869565217391304, 76.07361963190183
4, 36, 356, 66, 358, 1, 2, 726, 27, 525, 1, 552, 0, 5.142857142857143, 76.03305785123968
1, 37, 345, 94, 334, 3, 1, 1082, 21, 831, 0, 852, 0, 2.527075812274368, 78.74306839186691
2, 58, 348, 92, 341, 5, 4, 1127, 27, 851, 1, 878, 10, 3.172737955346651, 77.90594498669033
4, 12, 378, 5, 394, 4, 0, 103, 4, 80, 1, 84, 0, 5.0, 81.55339805825243
5, 21, 376, 33, 359, 7, 0, 505, 14, 389, 3, 403, 0, 3.5989717223650386, 79.8019801980198
3, 44, 357, 90, 351, 4, 5, 915, 23, 695, 0, 718, 0, 3.3093525179856114, 78.46994535519126
3, 112, 357, 225, 347, 13, 4, 2544, 88, 1855, 9, 1943, 14, 4.743935309973046, 76.37578616352201
3, 1, 366, 0, 0, 0, 0, 14, 1, 11, 0, 12, 0, 9.090909090909092, 85.71428571428571
4, 24, 358, 30, 361, 6, 0, 320, 10, 239, 2, 249, 2, 4.184100418410042, 77.8125
5, 35, 375, 58, 369, 14, 0, 687, 24, 511, 0, 535, 0, 4.6966731898238745, 77.87481804949054
4, 38, 353, 86, 343, 6, 0, 1248, 37, 940, 2, 977, 3, 3.9361702127659575, 78.28525641025641
5, 21, 368, 36, 374, 5, 0, 308, 14, 227, 0, 241, 1, 6.167400881057269, 78.24675324675324
5, 35, 366, 38, 366, 9, 0, 614, 16, 453, 1, 469, 3, 3.532008830022075, 76.38436482084691
1, 23, 353, 47, 341, 4, 1, 713, 19, 541, 1, 560, 2, 3.512014787430684, 78.5413744740533
5, 19, 363, 46, 363, 5, 0, 602, 19, 452, 1, 471, 1, 4.20353982300885, 78.23920265780731
2, 31, 350, 56, 343, 4, 1, 844, 30, 630, 2, 660, 0, 4.761904761904762, 78.19905213270142
4, 58, 357, 114, 348, 10, 1, 969, 39, 704, 1, 743, 1, 5.5397727272727275, 76.67698658410733
3, 54, 357, 86, 356, 5, 1, 860, 21, 657, 0, 678, 0, 3.1963470319634704, 78.83720930232558
5, 13, 360, 24, 364, 2, 0, 410, 12, 313, 3, 325, 0, 3.8338658146964857, 79.26829268292683
5, 29, 365, 91, 356, 7, 0, 946, 13, 741, 0, 754, 0, 1.7543859649122806, 79.70401691331924
2, 8, 333, 23, 327, 3, 2, 174, 3, 135, 0, 138, 0, 2.2222222222222223, 79.3103448275862
5, 55, 362, 106, 364, 6, 3, 999, 22, 758, 8, 780, 0, 2.9023746701846966, 78.07807807807808
